Ref_Date,GEO,STAT,TENURE,SUMMARY,Vector,Coordinate,Value
2011,Canada,Average expenditure per household,All classes,Owned vacation homes and other secondary residences,v64476230,1.1.1.73,600
2012,Canada,Average expenditure per household,All classes,Owned vacation homes and other secondary residences,v64476230,1.1.1.73,717
2013,Canada,Average expenditure per household,All classes,Owned vacation homes and other secondary residences,v64476230,1.1.1.73,678
2014,Canada,Average expenditure per household,All classes,Owned vacation homes and other secondary residences,v64476230,1.1.1.73,685
2010,Canada,Average expenditure per household,All classes,Mortgage paid for owned vacation homes and other secondary residences,v64476231,1.1.1.74,264
2011,Canada,Average expenditure per household,All classes,Mortgage paid for owned vacation homes and other secondary residences,v64476231,1.1.1.74,231
2012,Canada,Average expenditure per household,All classes,Mortgage paid for owned vacation homes and other secondary residences,v64476231,1.1.1.74,268
2013,Canada,Average expenditure per household,All classes,Mortgage paid for owned vacation homes and other secondary residences,v64476231,1.1.1.74,233
2014,Canada,Average expenditure per household,All classes,Mortgage paid for owned vacation homes and other secondary residences,v64476231,1.1.1.74,233
2010,Canada,Average expenditure per household,All classes,"Property and school taxes, water and sewage charges for owned vacation homes and other secondary residences",v105964471,1.1.1.318,..
2011,Canada,Average expenditure per household,All classes,"Property and school taxes, water and sewage charges for owned vacation homes and other secondary residences",v105964471,1.1.1.318,..
2012,Canada,Average expenditure per household,All classes,"Property and school taxes, water and sewage charges for owned vacation homes and other secondary residences",v105964471,1.1.1.318,..
2013,Canada,Average expenditure per household,All classes,"Property and school taxes, water and sewage charges for owned vacation homes and other secondary residences",v105964471,1.1.1.318,..
2014,Canada,Average expenditure per household,All classes,"Property and school taxes, water and sewage charges for owned vacation homes and other secondary residences",v105964471,1.1.1.318,129
2010,Canada,Average expenditure per household,All classes,Property taxes and sewage charges for owned vacation homes and other secondary residences,v64476232,1.1.1.75,153
2011,Canada,Average expenditure per household,All classes,Property taxes and sewage charges for owned vacation homes and other secondary residences,v64476232,1.1.1.75,142
2012,Canada,Average expenditure per household,All classes,Property taxes and sewage charges for owned vacation homes and other secondary residences,v64476232,1.1.1.75,142
2013,Canada,Average expenditure per household,All classes,Property taxes and sewage charges for owned vacation homes and other secondary residences,v64476232,1.1.1.75,138
2010,Canada,Average expenditure per household,All classes,Insurance premiums for owned vacation homes and other secondary residences,v64476233,1.1.1.76,49
2011,Canada,Average expenditure per household,All classes,Insurance premiums for owned vacation homes and other secondary residences,v64476233,1.1.1.76,41
2012,Canada,Average expenditure per household,All classes,Insurance premiums for owned vacation homes and other secondary residences,v64476233,1.1.1.76,41
2013,Canada,Average expenditure per household,All classes,Insurance premiums for owned vacation homes and other secondary residences,v64476233,1.1.1.76,52
2014,Canada,Average expenditure per household,All classes,Insurance premiums for owned vacation homes and other secondary residences,v64476233,1.1.1.76,52
2010,Canada,Average expenditure per household,All classes,Electricity and fuel (e.g. natural gas and wood) for owned vacation homes and other secondary residences,v105964472,1.1.1.319,..
2011,Canada,Average expenditure per household,All classes,Electricity and fuel (e.g. natural gas and wood) for owned vacation homes and other secondary residences,v105964472,1.1.1.319,..
